demand,supply,base_price,is_peak_hour,is_raining,final_price
39,30,162.32,1,1,296.36
19,50,110.63,1,1,192.19
18,23,132.99,0,1,196.16
48,8,192.57,0,1,372.3
89,23,153.31,1,1,317.48
58,41,98.03,1,0,140.98
60,24,125.63,1,0,193.47
86,8,66.06,1,0,149.0
83,41,190.01,0,1,303.56
19,11,103.9,1,0,151.52
68,29,119.46,1,1,230.16
53,26,54.42,0,0,65.1
92,26,198.0,1,0,324.87
82,34,155.21,1,1,300.22
31,48,91.84,1,1,161.94
21,21,189.79,0,0,207.91
90,46,51.83,1,1,98.04
67,30,157.98,1,1,302.71
79,15,173.07,1,1,379.67
83,31,150.5,1,0,234.69
74,23,175.33,1,1,352.12
17,29,194.98,0,0,206.03
21,25,53.45,0,0,57.77
99,32,86.58,0,1,147.19
81,43,119.79,1,0,177.78
56,16,165.28,0,1,285.84
98,27,191.73,1,1,393.05
99,36,129.83,1,1,255.45
18,10,63.22,1,1,117.82
18,43,93.79,1,0,125.76
31,14,51.38,1,0,77.41
59,47,186.78,1,1,340.48
77,22,148.76,0,1,258.07
97,16,172.99,0,1,340.89
40,48,193.33,1,0,267.11
12,11,89.93,0,0,98.92
88,39,137.95,0,1,223.48
19,38,101.06,1,1,176.73
11,41,124.6,0,0,127.86
29,32,66.77,1,0,92.67
82,7,124.1,0,1,300.94
42,43,128.39,0,0,140.65
72,27,54.15,1,0,84.32
66,42,71.79,1,1,133.06
23,14,58.33,1,1,108.1
32,44,152.83,1,0,209.55
53,16,91.17,0,0,119.59
55,38,94.18,1,1,173.39
49,43,131.53,1,1,238.25
37,49,71.41,1,1,126.68
45,26,106.74,0,0,124.53
74,8,88.28,1,0,187.35
28,29,136.62,1,1,245.01
47,20,113.23,0,0,138.57
16,47,58.62,1,0,78.16
66,5,123.62,0,1,309.05
81,44,114.2,1,1,214.7
70,25,57.39,0,0,72.84
34,22,147.75,0,1,228.69
100,11,147.39,1,1,373.39
76,42,151.05,0,1,238.17
85,44,82.28,0,1,130.73
33,39,127.45,1,1,227.18
86,18,87.92,0,0,127.72
36,49,57.97,0,0,62.14
86,29,104.94,1,1,208.48
80,33,155.75,1,1,301.42
52,25,167.51,1,1,318.27
47,45,177.99,1,0,249.57
45,40,170.17,0,0,188.85
16,11,155.37,1,1,284.85
47,27,91.5,1,0,134.31
75,5,86.7,1,0,221.08
95,12,100.67,0,1,214.5
54,31,55.99,0,0,65.44
58,21,58.11,0,1,96.67
93,48,147.01,0,1,233.72
25,43,88.68,0,0,93.72
97,49,184.42,0,0,220.2
44,7,169.53,1,1,381.44
93,45,70.88,0,1,113.56
40,41,121.47,1,1,218.07
86,49,118.55,0,1,186.36
77,42,189.62,1,1,356.31
86,43,105.45,0,0,126.06
41,11,105.87,0,1,184.39
97,14,158.73,0,1,324.87
44,43,173.76,1,1,312.77
13,35,71.16,0,1,102.19
54,37,123.66,0,0,141.23
93,10,167.45,0,0,309.02
40,12,182.64,0,1,311.89
16,49,186.36,0,0,192.32
52,33,97.91,0,0,112.88
21,11,58.73,1,1,110.12
55,34,136.47,1,1,253.44
36,39,96.69,0,1,144.07
69,21,127.56,0,0,167.57
45,39,193.45,1,0,273.25
68,6,144.33,0,0,284.54
73,34,77.24,1,0,116.52
48,10,129.68,0,1,238.14
34,46,185.57,0,1,273.22
51,17,129.75,0,1,218.41
62,29,195.56,1,0,294.64
49,17,96.54,1,0,151.78
91,6,138.01,0,1,372.63
75,40,171.67,1,1,323.24
85,25,163.26,1,1,330.92
52,7,146.71,1,1,344.77
49,19,100.52,1,0,155.3
70,22,150.21,0,1,256.01
93,46,169.14,1,0,253.35
37,33,157.66,0,0,174.82
37,23,100.13,1,1,185.66
69,7,142.53,1,0,308.22
95,33,140.9,1,1,278.9
16,15,140.07,1,1,252.13
46,9,143.67,0,0,209.76
99,41,83.92,1,1,162.45
56,41,86.03,1,0,123.31
46,45,78.23,1,1,140.81
99,41,88.12,0,1,144.14
92,7,124.67,1,0,305.44
88,42,108.3,0,1,173.78
24,10,126.85,0,1,205.27
98,29,97.21,0,0,128.97
35,32,67.01,0,1,100.92
71,17,122.36,1,0,207.33
36,49,84.98,1,1,150.58
57,21,180.88,1,0,282.01
25,20,182.51,0,1,277.24
14,37,83.36,0,1,119.78
32,42,84.55,1,0,116.21
70,34,144.23,1,1,274.04
100,14,120.87,1,0,237.71
51,44,98.35,1,0,139.0
35,47,152.66,0,0,163.79
49,42,139.9,1,1,253.77
20,28,124.41,0,0,132.99
72,32,110.94,0,1,179.52
86,31,99.84,0,1,166.61
69,14,125.32,0,1,233.1
47,7,124.84,0,0,198.18
99,9,172.6,1,1,464.29
69,28,75.78,1,1,146.86
80,23,169.2,1,1,344.04
97,19,53.76,1,0,95.96
12,6,60.07,1,0,88.39
56,36,102.06,1,0,148.12
80,16,55.03,0,1,102.94
78,36,65.85,0,0,79.73
34,29,126.17,0,1,190.94
40,40,160.97,1,1,289.35
94,20,117.22,0,1,216.58
78,33,79.33,1,1,153.06
44,32,160.45,0,0,181.84
34,23,180.46,1,0,260.16
23,43,109.49,1,0,148.06
68,25,114.86,0,1,190.84
74,48,166.0,0,1,257.47
17,27,77.77,1,0,105.82
67,39,78.49,0,1,123.03
79,49,54.47,0,1,84.86
47,21,175.27,1,0,265.3
76,49,118.74,0,1,184.28
74,16,102.32,0,1,187.79
76,49,58.12,0,0,66.95
96,46,159.52,0,0,192.1
11,36,158.8,0,0,163.52
36,11,171.05,1,1,342.1
17,31,135.32,1,1,237.23
62,30,145.97,0,1,233.55
62,13,116.38,0,1,214.47
45,25,61.87,1,1,115.89
65,38,133.28,1,0,195.48
94,48,92.35,0,1,147.01
47,23,180.74,0,0,216.13
99,26,120.04,0,1,212.07
86,13,184.26,1,0,352.73
80,28,175.72,1,1,347.2
56,49,119.15,0,1,180.15
28,40,197.77,0,0,211.28
43,10,81.98,0,0,114.03
38,36,125.62,1,0,176.21
21,32,86.54,0,0,92.05
94,7,117.13,1,1,336.75
68,39,128.84,1,0,189.39
54,28,129.83,0,1,205.94
41,17,107.29,1,0,163.92
69,14,155.95,1,0,274.47
31,27,143.07,1,0,201.83
56,9,186.67,1,1,421.87
74,37,189.21,0,0,226.06
55,39,110.34,1,1,202.75
62,44,69.49,0,1,106.86
37,44,168.87,1,1,300.96
87,23,140.69,0,1,247.97
42,22,120.09,0,0,142.02
74,13,52.6,1,1,117.22
54,50,175.52,1,0,246.76
86,36,185.48,0,1,302.78
24,21,171.98,1,1,311.13
79,23,157.14,1,0,256.01
16,5,71.49,1,1,140.6
14,23,131.42,1,1,231.08
59,31,96.15,1,0,142.72
87,18,52.71,1,0,92.66
46,12,138.44,1,0,228.96
