trip_distance,demand_level,supply_level,traffic_density,is_peak_hour,is_raining,final_price
9.99,107.0,1,2.4,1,0,684.08
23.82,76.0,16,1.19,0,0,592.8
18.57,61.0,36,1.25,0,0,371.04
15.37,79.0,55,1.36,0,0,297.83
4.74,88.0,42,1.41,0,0,153.39
4.74,42.0,5,2.28,1,0,274.61
2.39,56.0,26,2.31,1,1,187.57
21.79,95.0,49,1.91,0,0,468.12
15.43,105.0,9,2.82,1,0,714.52
17.99,66.0,58,1.62,0,0,373.56
1.49,89.0,10,2.81,0,0,141.71
24.28,31.0,30,2.11,0,1,641.14
20.98,20.0,12,2.57,0,0,446.65
6.1,45.0,12,2.85,0,0,252.81
5.36,62.0,42,1.33,0,0,140.43
5.4,115.0,2,2.66,1,0,429.21
8.3,79.0,11,2.67,1,0,345.69
13.59,74.0,33,2.51,1,0,419.11
11.37,52.0,23,1.02,0,0,282.32
7.99,54.0,7,2.63,0,0,332.6
15.68,50.0,45,1.22,0,0,315.49
4.35,73.0,53,2.99,0,1,213.65
8.01,24.0,13,2.55,0,0,222.97
9.79,53.0,57,2.16,0,0,262.29
11.95,51.0,50,1.31,0,0,250.47
19.84,68.0,37,2.03,0,0,437.22
5.79,94.0,36,1.52,0,0,178.12
13.34,13.0,36,1.5,0,0,241.95
15.22,80.0,10,2.66,0,0,516.93
2.11,38.0,53,1.76,0,0,120.8
15.58,80.0,43,2.7,1,0,456.66
5.09,15.0,57,2.69,0,1,221.92
2.56,78.0,23,1.98,1,0,143.24
23.77,90.0,41,2.19,0,1,663.67
24.18,75.0,21,2.16,0,1,746.54
20.4,120.0,44,2.65,1,0,576.62
8.31,36.0,23,2.66,0,0,232.68
3.34,16.0,35,2.89,0,0,124.51
17.42,50.0,13,2.73,1,0,550.12
11.56,99.0,27,1.91,0,0,331.83
3.93,41.0,54,2.0,0,0,99.26
12.88,126.0,41,3.25,1,0,436.13
1.83,90.0,29,3.14,1,0,165.69
22.82,49.0,18,1.45,0,0,471.59
7.21,16.0,5,1.13,0,0,182.92
16.9,40.0,43,,1,0,477.37
8.48,34.0,37,1.52,0,0,238.97
13.48,15.0,53,2.28,0,0,278.31
14.12,25.0,40,2.66,0,0,305.02
5.44,54.0,1,2.4,1,0,447.92
24.27,31.0,24,2.27,0,0,483.81
19.6,57.0,16,2.02,1,0,579.03
23.55,59.0,39,2.94,0,1,685.17
22.48,81.0,7,,0,0,794.88
